BUYER_ZIP,BUYER_COUNTY,BUYER_CITY,BUYER_STATE,COUNT
95351,STANISLAUS,MODESTO,CA,5654
62959,WILLIAMSON,MARION,IL,5651
32216,DUVAL,JACKSONVILLE,FL,5651
8360,CUMBERLAND,VINELAND,NJ,5650
48507,GENESEE,FLINT,MI,5648
39301,LAUDERDALE,MERIDIAN,MS,5647
28054,GASTON,GASTONIA,NC,5646
72601,BOONE,HARRISON,AR,5642
97301,MARION,SALEM,OR,5642
53081,SHEBOYGAN,SHEBOYGAN,WI,5637
34613,HERNANDO,BROOKSVILLE,FL,5632
85364,YUMA,YUMA,AZ,5632
30024,GWINNETT,SUWANEE,GA,5630
54303,BROWN,GREEN BAY,WI,5629
43623,LUCAS,TOLEDO,OH,5627
33803,POLK,LAKELAND,FL,5623
61554,TAZEWELL,PEKIN,IL,5621
37920,KNOX,KNOXVILLE,TN,5621
28379,RICHMOND,ROCKINGHAM,NC,5620
75034,DENTON,FRISCO,TX,5620
24740,MERCER,PRINCETON,WV,5619
76021,TARRANT,BEDFORD,TX,5612
79936,EL PASO,EL PASO,TX,5612
30144,COBB,KENNESAW,GA,5612
45102,CLERMONT,AMELIA,OH,5609
45245,CLERMONT,CINCINNATI,OH,5608
48150,WAYNE,LIVONIA,MI,5602
84020,SALT LAKE,DRAPER,UT,5599
62002,MADISON,ALTON,IL,5599
76017,TARRANT,ARLINGTON,TX,5596
99207,SPOKANE,SPOKANE,WA,5593
30062,COBB,MARIETTA,GA,5588
32958,INDIAN RIVER,SEBASTIAN,FL,5585
29115,ORANGEBURG,ORANGEBURG,SC,5583
72450,GREENE,PARAGOULD,AR,5581
